time,action,pair,amount,price,value,quality,reason,pnl,pnl_pct,hold_time
2025-11-05 18:00:00.000,BUY,ICPUSD,2198.432422099025,5.231,11500.0,0.65,Bullish momentum continuation,,,
2025-11-05 22:00:00.000,SELL,ICPUSD,3143.134394766641,5.931,18641.93009536095,,Take Profit,2098.5444273255353,12.70657406827021,4.0
2025-11-05 22:00:00.000,BUY,ICPUSD,2019.38415063703,5.931,11976.967397428225,0.65,Bullish momentum continuation,,,
2025-11-06 07:00:00.000,SELL,ICPUSD,2893.673487436043,6.206,17958.137663028087,,Take Profit,742.5943224464024,4.320270745943416,9.0
2025-11-06 07:00:00.000,BUY,ICPUSD,1956.4669710722908,6.206,12141.834022474637,0.65,Bullish momentum continuation,,,
2025-11-06 13:00:00.000,SELL,ICPUSD,2830.533035902063,6.876,19462.745154862587,,Take Profit,2056.9353523901495,11.837376101932875,6.0
2025-11-06 13:00:00.000,BUY,ICPUSD,1833.7600670612467,6.876,12608.934221113133,0.65,Bullish momentum continuation,,,
2025-11-06 17:00:00.000,SELL,ICPUSD,2633.19105278372,7.209,18982.674299517836,,Take Profit,869.9632457422097,4.810616249422364,4.0
2025-11-06 17:00:00.000,BUY,ICPUSD,1775.9448891461006,7.209,12802.78670585424,0.65,Bullish momentum continuation,,,
2025-11-06 20:00:00.000,SELL,ICPUSD,2572.1114129948746,6.769,17410.62215456231,,Stop Loss,-932.5298287003839,-5.0910519919996196,3.0
2025-11-06 20:00:00.000,BUY,ICPUSD,1858.7657656693589,6.769,12581.98546781589,0.65,Bullish momentum continuation,,,
2025-11-07 03:00:00.000,SELL,ICPUSD,2673.239329346778,7.255,19394.351334410876,,Take Profit,1327.930410082015,7.36212318814107,7.0
2025-11-07 03:00:00.000,BUY,ICPUSD,1775.4909143339319,7.255,12881.186583492676,0.65,Bullish momentum continuation,,,
2025-11-07 04:00:00.000,BUY,APTUSD,4197.21699060533,3.058,12835.089557271096,0.65,Bullish momentum continuation,,,
2025-11-07 05:00:00.000,SELL,ICPUSD,1775.4909143339319,7.904,14033.480186895398,,Take Profit,1131.2433831223793,8.782136457615444,2.0
2025-11-07 11:00:00.000,SELL,APTUSD,6075.829212747733,2.924,17765.72461807437,,Stop Loss,-795.7230081038894,-4.293129946641377,7.0
2025-11-07 11:00:00.000,BUY,APTUSD,4428.015647984639,2.924,12947.517754707085,0.65,Bullish momentum continuation,,,
2025-11-07 15:00:00.000,SELL,APTUSD,6389.450806330563,3.128,19986.202122202,,Take Profit,1412.730557550691,7.618470877172578,4.0
